# 0.547550
上	C2/0.628298
午	C2/0.644686
二	C2/0.650846
十	C2/0.650578
点	C2/0.651188
零	C2/0.651888
一	C2/0.649872
分	C2/0.644111
。	O/0.943085
傍	C1/0.953358
晚	C1/0.957770
二	C1/0.962472
十	C1/0.964441
三	C1/0.965260
点	C1/0.966471
四	C1/0.968963
十	C1/0.971358
六	C1/0.975001
分	C1/0.980998
至	C1/0.983979
凌	C1/0.991669
晨	C1/0.991637
零	C1/0.991243
点	C1/0.991697
三	C1/0.992001
十	C1/0.992830
八	C1/0.993369
分	C1/0.993784
左	C1/0.994421
右	C1/0.995029
之	C1/0.990668
间	C1/0.988415
。	O/0.998442
下	C0/0.972655
午	C0/0.982409
。	O/0.988099

